city08,comb08,cylinders,displ,fuelType,highway08,make,model,trany,VClass,year
city MPG,combined MPG,engine cylinders,engine displacement in liters,fuel type,highway MPG,manufacturer,model name,transmission descriptor,EPA vehicle size class,model year
24,28,4,1.8,CNG,36,Honda,Civic CNG,Automatic 5-spd,Subcompact Cars,2008
26,29,4,1.8,Regular,34,Honda,Civic,Manual 5-spd,Subcompact Cars,2008
21,24,4,2,Premium,29,Honda,Civic,Manual 6-spd,Subcompact Cars,2008
20,22,4,2,Regular,27,Hyundai,Tiburon,Automatic 4-spd,Subcompact Cars,2008
20,23,4,2,Regular,28,Hyundai,Tiburon,Manual 5-spd,Subcompact Cars,2008
17,20,6,2.7,Regular,24,Hyundai,Tiburon,Automatic 4-spd,Subcompact Cars,2008
17,20,6,2.7,Regular,24,Hyundai,Tiburon,Manual 5-spd,Subcompact Cars,2008
16,19,6,2.7,Regular,24,Hyundai,Tiburon,Manual 6-spd,Subcompact Cars,2008
17,20,6,3.7,Premium,26,Infiniti,G37 Coupe,Manual 6-spd,Subcompact Cars,2008
18,20,6,3.7,Premium,24,Infiniti,G37 Coupe,Automatic (S5),Subcompact Cars,2008
18,21,6,2.5,Premium,26,Lexus,IS 250,Manual 6-spd,Subcompact Cars,2008
21,24,6,2.5,Premium,29,Lexus,IS 250,Automatic (S6),Subcompact Cars,2008
20,22,6,2.5,Premium,26,Lexus,IS 250 AWD,Automatic (S6),Subcompact Cars,2008
18,20,6,3.5,Premium,25,Lexus,IS 350,Automatic (S6),Subcompact Cars,2008
13,15,8,4.2,Premium,19,Maserati,GranTurismo,Automatic 6-spd,Subcompact Cars,2008
18,21,6,3,Premium or E85,25,Mercedes-Benz,C300,Automatic 7-spd,Compact Cars,2008
9,11,12,6.5,Premium,14,Lamborghini,Murcielago Reventon,Automatic (S6),Two Seaters,2008
12,13,8,5.4,Premium,16,Mercedes-Benz,SLR,Automatic (S5),Two Seaters,2008
16,19,6,3.6,Premium,23,Porsche,911 GT2,Manual 6-spd,Two Seaters,2008
15,17,8,4.6,Premium,22,Shelby,Mustang GT,Manual 5-spd,Two Seaters,2008
14,16,8,4.6,Premium,20,Roush Performance,Stage 3 Mustang,Automatic 5-spd,Subcompact Cars,2008
18,20,4,2,Premium,24,Saab,9-3 Convertible,Automatic (S5),Subcompact Cars,2008
12,14,8,5,Premium,18,Saleen Performance,S281 Family,Manual 6-spd,Subcompact Cars,2008
12,14,8,5,Premium,18,Saleen Performance,S281 Family,Manual 6-spd,Subcompact Cars,2008
17,20,6,3,Premium,25,Mercedes-Benz,C300 4matic,Automatic 7-spd,Compact Cars,2008
19,21,4,2,Premium,26,Saab,9-3 Sport Sedan,Automatic (S5),Compact Cars,2008
13,15,8,6.1,Premium,18,Dodge,Challenger,Automatic 5-spd,Midsize Cars,2008
13,15,8,6.1,Premium,18,Chrysler,300/SRT-8,Automatic 5-spd,Large Cars,2008
13,15,8,6.1,Premium,18,Dodge,Charger,Automatic 5-spd,Large Cars,2008
15,18,8,6,Premium,24,Pontiac,G8,Automatic (S6),Large Cars,2008
18,20,4,2,Premium,24,Saab,9-3 SportCombi,Automatic (S5),Small Station Wagons,2008
17,19,4,2.5,Premium,23,Subaru,Impreza Wagon/Outback SPT AWD,Manual 6-spd,Small Station Wagons,2008
11,13,8,5.4,Premium,15,Saleen Performance,F150 Supercharged,Automatic 4-spd,Standard Pickup Trucks 2WD,2008
16,18,6,3.5,Regular,23,Honda,Odyssey,Automatic 5-spd,Minivan - 2WD,2008
17,20,6,3.5,Regular,25,Honda,Odyssey,Automatic 5-spd,Minivan - 2WD,2008
22,24,4,2.3,Regular,28,Mazda,5,Manual 5-spd,Minivan - 2WD,2008
21,23,4,2.3,Regular,27,Mazda,5,Automatic (S5),Minivan - 2WD,2008
12,14,8,6.2,Premium,19,Cadillac,Escalade ESV 2WD,Automatic 6-spd,Sport Utility Vehicle - 2WD,2008
12,14,8,6.2,Premium,19,Chevrolet,Tahoe 1500 2WD,Automatic 6-spd,Sport Utility Vehicle - 2WD,2008
21,21,8,6,Regular,22,Chevrolet,Tahoe Hybrid 2WD,Automatic (variable gear ratios),Sport Utility Vehicle - 2WD,2008
19,22,4,2,Regular,28,Chevrolet,HHR FWD,Automatic 4-spd,Sport Utility Vehicle - 2WD,2008
21,24,4,2,Regular,29,Chevrolet,HHR FWD,Manual 5-spd,Sport Utility Vehicle - 2WD,2008
13,15,8,6.1,Premium,18,Dodge,Magnum,Automatic 5-spd,Sport Utility Vehicle - 2WD,2008
